2025-09-11 19:11:20,585 - INFO - ✅ Arduino ready and optimized
2025-09-11 19:11:20,585 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-11 19:11:20,585 - INFO - 📐 Differential Drive Specifications:
2025-09-11 19:11:20,585 - INFO -    Wheel diameter: 5.0 cm
2025-09-11 19:11:20,585 - INFO -    Wheel base: 15.0 cm
2025-09-11 19:11:20,585 - INFO -    Left motor: 4993 ticks/rev
2025-09-11 19:11:20,585 - INFO -    Right motor: 4966 ticks/rev
2025-09-11 19:11:20,586 - INFO -    Left resolution: 0.031 mm/tick
2025-09-11 19:11:20,586 - INFO -    Right resolution: 0.032 mm/tick
2025-09-11 19:11:20,586 - INFO -    360° turn needs: L=14979 ticks, R=14898 ticks
2025-09-11 19:11:20,586 - INFO - 🔄 High-performance threads started
2025-09-11 19:11:24,009 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-12 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:24,473 - INFO - 🔄 Movement: L=-20 ticks (0.6mm), R=-17 ticks (0.5mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:24,488 - INFO - 🔄 Movement: L=-36 ticks (1.1mm), R=-30 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:24,493 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=-14 ticks (0.4mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:24,509 - INFO - 🔄 Movement: L=-38 ticks (1.2mm), R=-32 ticks (1.0mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:24,514 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=-14 ticks (0.4mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:24,529 - INFO - 🔄 Movement: L=-38 ticks (1.2mm), R=-31 ticks (1.0mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:24,534 - INFO - 🔄 Movement: L=-14 ticks (0.4mm), R=-12 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:24,551 - INFO - 🔄 Movement: L=-42 ticks (1.3mm), R=-34 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:24,556 - INFO - 🔄 Movement: L=-14 ticks (0.4mm), R=-12 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:24,569 - INFO - 🔄 Movement: L=-40 ticks (1.3mm), R=-34 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:24,574 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-10 ticks (0.3mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:24,586 - INFO - 🔄 Movement: L=-42 ticks (1.3mm), R=-36 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:24,596 - INFO - 🔄 Movement: L=-14 ticks (0.4mm), R=-11 ticks (0.3mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:24,607 - INFO - 🔄 Movement: L=-43 ticks (1.4mm), R=-37 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:24,613 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-10 ticks (0.3mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:24,628 - INFO - 🔄 Movement: L=-43 ticks (1.4mm), R=-36 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:24,634 - INFO - 🔄 Movement: L=-11 ticks (0.3mm), R=-8 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:24,650 - INFO - 🔄 Movement: L=-46 ticks (1.4mm), R=-38 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:24,656 - INFO - 🔄 Movement: L=-11 ticks (0.3mm), R=-8 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:24,671 - INFO - 🔄 Movement: L=-44 ticks (1.4mm), R=-37 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:24,692 - INFO - 🔄 Movement: L=-45 ticks (1.4mm), R=-37 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:24,712 - INFO - 🔄 Movement: L=-44 ticks (1.4mm), R=-35 ticks (1.1mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:24,733 - INFO - 🔄 Movement: L=-47 ticks (1.5mm), R=-37 ticks (1.2mm), Center=1.3mm, Turn=0.1°
2025-09-11 19:11:24,756 - INFO - 🔄 Movement: L=-51 ticks (1.6mm), R=-40 ticks (1.3mm), Center=1.4mm, Turn=0.1°
2025-09-11 19:11:24,774 - INFO - 🔄 Movement: L=-51 ticks (1.6mm), R=-39 ticks (1.2mm), Center=1.4mm, Turn=0.1°
2025-09-11 19:11:24,796 - INFO - 🔄 Movement: L=-51 ticks (1.6mm), R=-36 ticks (1.1mm), Center=1.4mm, Turn=0.2°
2025-09-11 19:11:24,817 - INFO - 🔄 Movement: L=-51 ticks (1.6mm), R=-37 ticks (1.2mm), Center=1.4mm, Turn=0.2°
2025-09-11 19:11:24,832 - INFO - 🔄 Movement: L=-49 ticks (1.5mm), R=-34 ticks (1.1mm), Center=1.3mm, Turn=0.2°
2025-09-11 19:11:24,853 - INFO - 🔄 Movement: L=-49 ticks (1.5mm), R=-34 ticks (1.1mm), Center=1.3mm, Turn=0.2°
2025-09-11 19:11:24,874 - INFO - 🔄 Movement: L=-46 ticks (1.4mm), R=-32 ticks (1.0mm), Center=1.2mm, Turn=0.2°
2025-09-11 19:11:24,894 - INFO - 🔄 Movement: L=-47 ticks (1.5mm), R=-33 ticks (1.0mm), Center=1.3mm, Turn=0.2°
2025-09-11 19:11:24,915 - INFO - 🔄 Movement: L=-46 ticks (1.4mm), R=-32 ticks (1.0mm), Center=1.2mm, Turn=0.2°
2025-09-11 19:11:24,935 - INFO - 🔄 Movement: L=-43 ticks (1.4mm), R=-29 ticks (0.9mm), Center=1.1mm, Turn=0.2°
2025-09-11 19:11:24,961 - INFO - 🔄 Movement: L=-43 ticks (1.4mm), R=-28 ticks (0.9mm), Center=1.1mm, Turn=0.2°
2025-09-11 19:11:24,977 - INFO - 🔄 Movement: L=-39 ticks (1.2mm), R=-29 ticks (0.9mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:24,984 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-8 ticks (0.3mm), Center=0.3mm, Turn=0.1°
2025-09-11 19:11:24,994 - INFO - 🔄 Movement: L=-38 ticks (1.2mm), R=-28 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:25,000 - INFO - 🔄 Movement: L=-12 ticks (0.4mm), R=-8 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:25,016 - INFO - 🔄 Movement: L=-37 ticks (1.2mm), R=-25 ticks (0.8mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:25,021 - INFO - 🔄 Movement: L=-15 ticks (0.5mm), R=-10 ticks (0.3mm), Center=0.4mm, Turn=0.1°
2025-09-11 19:11:25,036 - INFO - 🔄 Movement: L=-36 ticks (1.1mm), R=-24 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:25,042 - INFO - 🔄 Movement: L=-15 ticks (0.5mm), R=-9 ticks (0.3mm), Center=0.4mm, Turn=0.1°
2025-09-11 19:11:25,058 - INFO - 🔄 Movement: L=-33 ticks (1.0mm), R=-23 ticks (0.7mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:25,063 - INFO - 🔄 Movement: L=-19 ticks (0.6mm), R=-11 ticks (0.3mm), Center=0.5mm, Turn=0.1°
2025-09-11 19:11:25,079 - INFO - 🔄 Movement: L=-32 ticks (1.0mm), R=-22 ticks (0.7mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:25,084 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=-11 ticks (0.3mm), Center=0.4mm, Turn=0.1°
2025-09-11 19:11:25,094 - INFO - 🔄 Movement: L=-30 ticks (0.9mm), R=-20 ticks (0.6mm), Center=0.8mm, Turn=0.1°
2025-09-11 19:11:25,105 - INFO - 🔄 Movement: L=-20 ticks (0.6mm), R=-13 ticks (0.4mm), Center=0.5mm, Turn=0.1°
2025-09-11 19:11:25,115 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-20 ticks (0.6mm), Center=0.8mm, Turn=0.1°
2025-09-11 19:11:25,125 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=-13 ticks (0.4mm), Center=0.5mm, Turn=0.1°
2025-09-11 19:11:25,135 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-19 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-11 19:11:25,149 - INFO - 🔄 Movement: L=-23 ticks (0.7mm), R=-14 ticks (0.4mm), Center=0.6mm, Turn=0.1°
2025-09-11 19:11:25,159 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-19 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-11 19:11:25,173 - INFO - 🔄 Movement: L=-23 ticks (0.7mm), R=-15 ticks (0.5mm), Center=0.6mm, Turn=0.1°
2025-09-11 19:11:25,178 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=-16 ticks (0.5mm), Center=0.6mm, Turn=0.1°
2025-09-11 19:11:25,189 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=-14 ticks (0.4mm), Center=0.6mm, Turn=0.1°
2025-09-11 19:11:25,199 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=-15 ticks (0.5mm), Center=0.6mm, Turn=0.1°
2025-09-11 19:11:25,209 - INFO - 🔄 Movement: L=-25 ticks (0.8mm), R=-13 ticks (0.4mm), Center=0.6mm, Turn=0.1°
2025-09-11 19:11:25,220 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=-12 ticks (0.4mm), Center=0.5mm, Turn=0.1°
2025-09-11 19:11:25,230 - INFO - 🔄 Movement: L=-28 ticks (0.9mm), R=-12 ticks (0.4mm), Center=0.6mm, Turn=0.2°
2025-09-11 19:11:25,236 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=-10 ticks (0.3mm), Center=0.5mm, Turn=0.1°
2025-09-11 19:11:25,251 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-13 ticks (0.4mm), Center=0.6mm, Turn=0.2°
2025-09-11 19:11:25,256 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=-9 ticks (0.3mm), Center=0.5mm, Turn=0.1°
2025-09-11 19:11:25,272 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-12 ticks (0.4mm), Center=0.6mm, Turn=0.2°
2025-09-11 19:11:25,278 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=-8 ticks (0.3mm), Center=0.4mm, Turn=0.1°
2025-09-11 19:11:25,288 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-12 ticks (0.4mm), Center=0.6mm, Turn=0.2°
2025-09-11 19:11:25,299 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=-8 ticks (0.3mm), Center=0.4mm, Turn=0.1°
2025-09-11 19:11:25,309 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-10 ticks (0.3mm), Center=0.6mm, Turn=0.2°
2025-09-11 19:11:25,320 - INFO - 🔄 Movement: L=-15 ticks (0.5mm), R=-6 ticks (0.2mm), Center=0.3mm, Turn=0.1°
2025-09-11 19:11:25,330 - INFO - 🔄 Movement: L=-30 ticks (0.9mm), R=-12 ticks (0.4mm), Center=0.7mm, Turn=0.2°
2025-09-11 19:11:25,340 - INFO - 🔄 Movement: L=-16 ticks (0.5mm), R=-6 ticks (0.2mm), Center=0.3mm, Turn=0.1°
2025-09-11 19:11:25,351 - INFO - 🔄 Movement: L=-31 ticks (1.0mm), R=-13 ticks (0.4mm), Center=0.7mm, Turn=0.2°
2025-09-11 19:11:25,356 - INFO - 🔄 Movement: L=-12 ticks (0.4mm), R=-6 ticks (0.2mm), Center=0.3mm, Turn=0.1°
2025-09-11 19:11:25,373 - INFO - 🔄 Movement: L=-31 ticks (1.0mm), R=-13 ticks (0.4mm), Center=0.7mm, Turn=0.2°
2025-09-11 19:11:25,380 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-6 ticks (0.2mm), Center=0.3mm, Turn=0.1°
2025-09-11 19:11:25,396 - INFO - 🔄 Movement: L=-31 ticks (1.0mm), R=-14 ticks (0.4mm), Center=0.7mm, Turn=0.2°
2025-09-11 19:11:25,413 - INFO - 🔄 Movement: L=-32 ticks (1.0mm), R=-15 ticks (0.5mm), Center=0.7mm, Turn=0.2°
2025-09-11 19:11:25,418 - INFO - 🔄 Movement: L=-11 ticks (0.3mm), R=-5 ticks (0.2mm), Center=0.3mm, Turn=0.1°
2025-09-11 19:11:25,434 - INFO - 🔄 Movement: L=-32 ticks (1.0mm), R=-18 ticks (0.6mm), Center=0.8mm, Turn=0.2°
2025-09-11 19:11:25,454 - INFO - 🔄 Movement: L=-35 ticks (1.1mm), R=-21 ticks (0.7mm), Center=0.9mm, Turn=0.2°
2025-09-11 19:11:25,475 - INFO - 🔄 Movement: L=-35 ticks (1.1mm), R=-24 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:25,496 - INFO - 🔄 Movement: L=-39 ticks (1.2mm), R=-28 ticks (0.9mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:25,517 - INFO - 🔄 Movement: L=-39 ticks (1.2mm), R=-28 ticks (0.9mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:25,537 - INFO - 🔄 Movement: L=-43 ticks (1.4mm), R=-30 ticks (0.9mm), Center=1.2mm, Turn=0.2°
2025-09-11 19:11:25,562 - INFO - 🔄 Movement: L=-46 ticks (1.4mm), R=-32 ticks (1.0mm), Center=1.2mm, Turn=0.2°
2025-09-11 19:11:25,583 - INFO - 🔄 Movement: L=-46 ticks (1.4mm), R=-33 ticks (1.0mm), Center=1.2mm, Turn=0.2°
2025-09-11 19:11:25,599 - INFO - 🔄 Movement: L=-44 ticks (1.4mm), R=-33 ticks (1.0mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:25,620 - INFO - 🔄 Movement: L=-43 ticks (1.4mm), R=-32 ticks (1.0mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:25,640 - INFO - 🔄 Movement: L=-43 ticks (1.4mm), R=-33 ticks (1.0mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:25,661 - INFO - 🔄 Movement: L=-41 ticks (1.3mm), R=-32 ticks (1.0mm), Center=1.2mm, Turn=0.1°
2025-09-11 19:11:25,681 - INFO - 🔄 Movement: L=-41 ticks (1.3mm), R=-31 ticks (1.0mm), Center=1.1mm, Turn=0.1°
2025-09-11 19:11:25,702 - INFO - 🔄 Movement: L=-37 ticks (1.2mm), R=-28 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:25,707 - INFO - 🔄 Movement: L=-12 ticks (0.4mm), R=-8 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:25,723 - INFO - 🔄 Movement: L=-38 ticks (1.2mm), R=-27 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:25,728 - INFO - 🔄 Movement: L=-11 ticks (0.3mm), R=-9 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:25,745 - INFO - 🔄 Movement: L=-36 ticks (1.1mm), R=-27 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:25,757 - INFO - 🔄 Movement: L=-23 ticks (0.7mm), R=-18 ticks (0.6mm), Center=0.6mm, Turn=0.1°
2025-09-11 19:11:25,763 - INFO - 🔄 Movement: L=-26 ticks (0.8mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-11 19:11:25,775 - INFO - 🔄 Movement: L=-26 ticks (0.8mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-11 19:11:25,781 - INFO - 🔄 Movement: L=-12 ticks (0.4mm), R=-16 ticks (0.5mm), Center=0.4mm, Turn=-0.0°
2025-09-11 19:11:25,796 - INFO - 🔄 Movement: L=-5 ticks (0.2mm), R=-19 ticks (0.6mm), Center=0.4mm, Turn=-0.2°
2025-09-11 19:11:25,803 - INFO - 🔄 Movement: L=2 ticks (-0.1mm), R=-14 ticks (0.4mm), Center=0.2mm, Turn=-0.2°
2025-09-11 19:11:25,813 - INFO - 🔄 Movement: L=4 ticks (-0.1mm), R=-17 ticks (0.5mm), Center=0.2mm, Turn=-0.3°
2025-09-11 19:11:25,824 - INFO - 🔄 Movement: L=6 ticks (-0.2mm), R=-13 ticks (0.4mm), Center=0.1mm, Turn=-0.2°
2025-09-11 19:11:25,834 - INFO - 🔄 Movement: L=12 ticks (-0.4mm), R=-18 ticks (0.6mm), Center=0.1mm, Turn=-0.4°
2025-09-11 19:11:25,844 - INFO - 🔄 Movement: L=10 ticks (-0.3mm), R=-13 ticks (0.4mm), Center=0.0mm, Turn=-0.3°
2025-09-11 19:11:25,855 - INFO - 🔄 Movement: L=16 ticks (-0.5mm), R=-19 ticks (0.6mm), Center=0.0mm, Turn=-0.4°
2025-09-11 19:11:25,860 - INFO - 🔄 Movement: L=10 ticks (-0.3mm), R=-11 ticks (0.3mm), Center=0.0mm, Turn=-0.3°
2025-09-11 19:11:25,876 - INFO - 🔄 Movement: L=21 ticks (-0.7mm), R=-19 ticks (0.6mm), Center=-0.0mm, Turn=-0.5°
2025-09-11 19:11:25,881 - INFO - 🔄 Movement: L=12 ticks (-0.4mm), R=-11 ticks (0.3mm), Center=-0.0mm, Turn=-0.3°
2025-09-11 19:11:25,896 - INFO - 🔄 Movement: L=23 ticks (-0.7mm), R=-18 ticks (0.6mm), Center=-0.1mm, Turn=-0.5°
2025-09-11 19:11:25,902 - INFO - 🔄 Movement: L=14 ticks (-0.4mm), R=-11 ticks (0.3mm), Center=-0.0mm, Turn=-0.3°
2025-09-11 19:11:25,917 - INFO - 🔄 Movement: L=25 ticks (-0.8mm), R=-19 ticks (0.6mm), Center=-0.1mm, Turn=-0.5°
2025-09-11 19:11:25,922 - INFO - 🔄 Movement: L=14 ticks (-0.4mm), R=-9 ticks (0.3mm), Center=-0.1mm, Turn=-0.3°
2025-09-11 19:11:25,938 - INFO - 🔄 Movement: L=28 ticks (-0.9mm), R=-20 ticks (0.6mm), Center=-0.1mm, Turn=-0.6°
2025-09-11 19:11:25,945 - INFO - 🔄 Movement: L=17 ticks (-0.5mm), R=-11 ticks (0.3mm), Center=-0.1mm, Turn=-0.3°
2025-09-11 19:11:25,962 - INFO - 🔄 Movement: L=29 ticks (-0.9mm), R=-20 ticks (0.6mm), Center=-0.1mm, Turn=-0.6°
2025-09-11 19:11:25,962 - INFO - 🔄 Movement: L=14 ticks (-0.4mm), R=-9 ticks (0.3mm), Center=-0.1mm, Turn=-0.3°
2025-09-11 19:11:25,979 - INFO - 🔄 Movement: L=32 ticks (-1.0mm), R=-22 ticks (0.7mm), Center=-0.2mm, Turn=-0.7°
2025-09-11 19:11:25,979 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=32, R=-22 (diff=54)
2025-09-11 19:11:25,985 - INFO - 🔄 Movement: L=16 ticks (-0.5mm), R=-11 ticks (0.3mm), Center=-0.1mm, Turn=-0.3°
2025-09-11 19:11:26,001 - INFO - 🔄 Movement: L=34 ticks (-1.1mm), R=-23 ticks (0.7mm), Center=-0.2mm, Turn=-0.7°
2025-09-11 19:11:26,001 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=34, R=-23 (diff=57)
2025-09-11 19:11:26,001 - INFO - 🔄 Movement: L=11 ticks (-0.3mm), R=-9 ticks (0.3mm), Center=-0.0mm, Turn=-0.2°
2025-09-11 19:11:26,022 - INFO - 🔄 Movement: L=38 ticks (-1.2mm), R=-26 ticks (0.8mm), Center=-0.2mm, Turn=-0.8°
2025-09-11 19:11:26,022 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=38, R=-26 (diff=64)
2025-09-11 19:11:26,022 - INFO - 🔄 Movement: L=11 ticks (-0.3mm), R=-9 ticks (0.3mm), Center=-0.0mm, Turn=-0.2°
2025-09-11 19:11:26,038 - INFO - 🔄 Movement: L=37 ticks (-1.2mm), R=-27 ticks (0.9mm), Center=-0.2mm, Turn=-0.8°
2025-09-11 19:11:26,038 - WARNING - ⚠️  CIRCULAR MOTION DETECTED! Large wheel difference: L=37, R=-27 (diff=64)
