2025-09-06 17:33:50,697 - INFO - ✅ Arduino ready and optimized
2025-09-06 17:33:50,708 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-06 17:33:50,708 - INFO - 📐 Differential Drive Specifications:
2025-09-06 17:33:50,708 - INFO -    Wheel diameter: 5.0 cm
2025-09-06 17:33:50,709 - INFO -    Wheel base: 15.0 cm
2025-09-06 17:33:50,709 - INFO -    Left motor: 4993 ticks/rev
2025-09-06 17:33:50,709 - INFO -    Right motor: 4966 ticks/rev
2025-09-06 17:33:50,709 - INFO -    Left resolution: 0.031 mm/tick
2025-09-06 17:33:50,709 - INFO -    Right resolution: 0.032 mm/tick
2025-09-06 17:33:50,709 - INFO -    360° turn needs: L=14979 ticks, R=14898 ticks
2025-09-06 17:33:50,710 - INFO - 🔄 High-performance threads started
2025-09-06 17:33:54,028 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=8 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:54,497 - INFO - 🔄 Movement: L=56 ticks (1.8mm), R=51 ticks (1.6mm), Center=1.7mm, Turn=-0.1°
2025-09-06 17:33:54,498 - INFO - 🔄 Movement: L=14 ticks (0.4mm), R=12 ticks (0.4mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:54,520 - INFO - 🔄 Movement: L=56 ticks (1.8mm), R=51 ticks (1.6mm), Center=1.7mm, Turn=-0.1°
2025-09-06 17:33:54,520 - INFO - 🔄 Movement: L=13 ticks (0.4mm), R=12 ticks (0.4mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:54,540 - INFO - 🔄 Movement: L=53 ticks (1.7mm), R=48 ticks (1.5mm), Center=1.6mm, Turn=-0.1°
2025-09-06 17:33:54,546 - INFO - 🔄 Movement: L=32 ticks (1.0mm), R=29 ticks (0.9mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:33:54,556 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:33:54,566 - INFO - 🔄 Movement: L=31 ticks (1.0mm), R=29 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:33:54,580 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=32 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:54,586 - INFO - 🔄 Movement: L=34 ticks (1.1mm), R=31 ticks (1.0mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:33:54,597 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=32 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:54,611 - INFO - 🔄 Movement: L=45 ticks (1.4mm), R=42 ticks (1.3mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:54,618 - INFO - 🔄 Movement: L=21 ticks (0.7mm), R=20 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:33:54,629 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=44 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:54,643 - INFO - 🔄 Movement: L=23 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:54,648 - INFO - 🔄 Movement: L=45 ticks (1.4mm), R=41 ticks (1.3mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:54,659 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=19 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:33:54,674 - INFO - 🔄 Movement: L=56 ticks (1.8mm), R=52 ticks (1.6mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:33:54,680 - INFO - 🔄 Movement: L=14 ticks (0.4mm), R=13 ticks (0.4mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:54,695 - INFO - 🔄 Movement: L=58 ticks (1.8mm), R=54 ticks (1.7mm), Center=1.8mm, Turn=-0.0°
2025-09-06 17:33:54,702 - INFO - 🔄 Movement: L=13 ticks (0.4mm), R=11 ticks (0.3mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:54,717 - INFO - 🔄 Movement: L=58 ticks (1.8mm), R=53 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:33:54,741 - INFO - 🔄 Movement: L=71 ticks (2.2mm), R=66 ticks (2.1mm), Center=2.2mm, Turn=-0.1°
2025-09-06 17:33:54,758 - INFO - 🔄 Movement: L=60 ticks (1.9mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:33:54,778 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=57 ticks (1.8mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:33:54,784 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:54,805 - INFO - 🔄 Movement: L=57 ticks (1.8mm), R=53 ticks (1.7mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:33:54,806 - INFO - 🔄 Movement: L=21 ticks (0.7mm), R=20 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:33:54,817 - INFO - 🔄 Movement: L=50 ticks (1.6mm), R=45 ticks (1.4mm), Center=1.5mm, Turn=-0.1°
2025-09-06 17:33:54,823 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=20 ticks (0.6mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:54,836 - INFO - 🔄 Movement: L=46 ticks (1.4mm), R=42 ticks (1.3mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:54,853 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:54,859 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=43 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:54,865 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:33:54,885 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=40 ticks (1.3mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:33:54,885 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:33:54,898 - INFO - 🔄 Movement: L=43 ticks (1.4mm), R=38 ticks (1.2mm), Center=1.3mm, Turn=-0.1°
2025-09-06 17:33:54,911 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=28 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:33:54,917 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=36 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:33:54,928 - INFO - 🔄 Movement: L=33 ticks (1.0mm), R=31 ticks (1.0mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:33:54,938 - INFO - 🔄 Movement: L=39 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:33:54,951 - INFO - 🔄 Movement: L=41 ticks (1.3mm), R=39 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:33:54,963 - INFO - 🔄 Movement: L=27 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:33:54,977 - INFO - 🔄 Movement: L=46 ticks (1.4mm), R=43 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:54,978 - INFO - 🔄 Movement: L=26 ticks (0.8mm), R=25 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:33:54,994 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=43 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:55,000 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:33:55,014 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=43 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:55,021 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=19 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:33:55,041 - INFO - 🔄 Movement: L=50 ticks (1.6mm), R=47 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:33:55,046 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:55,057 - INFO - 🔄 Movement: L=52 ticks (1.6mm), R=48 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:33:55,062 - INFO - 🔄 Movement: L=16 ticks (0.5mm), R=15 ticks (0.5mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:33:55,080 - INFO - 🔄 Movement: L=73 ticks (2.3mm), R=66 ticks (2.1mm), Center=2.2mm, Turn=-0.1°
2025-09-06 17:33:55,102 - INFO - 🔄 Movement: L=68 ticks (2.1mm), R=62 ticks (2.0mm), Center=2.1mm, Turn=-0.1°
2025-09-06 17:33:55,127 - INFO - 🔄 Movement: L=65 ticks (2.0mm), R=61 ticks (1.9mm), Center=2.0mm, Turn=-0.0°
2025-09-06 17:33:55,127 - INFO - 🔄 Movement: L=20 ticks (0.6mm), R=17 ticks (0.5mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:33:55,139 - INFO - 🔄 Movement: L=50 ticks (1.6mm), R=46 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:33:55,154 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:55,160 - INFO - 🔄 Movement: L=50 ticks (1.6mm), R=47 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:33:55,171 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=20 ticks (0.6mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:55,186 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=42 ticks (1.3mm), Center=1.4mm, Turn=-0.1°
2025-09-06 17:33:55,192 - INFO - 🔄 Movement: L=34 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,203 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:33:55,218 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=31 ticks (1.0mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:33:55,224 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,235 - INFO - 🔄 Movement: L=35 ticks (1.1mm), R=32 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,241 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,255 - INFO - 🔄 Movement: L=47 ticks (1.5mm), R=44 ticks (1.4mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:55,260 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:55,276 - INFO - 🔄 Movement: L=51 ticks (1.6mm), R=46 ticks (1.5mm), Center=1.5mm, Turn=-0.1°
2025-09-06 17:33:55,288 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:55,299 - INFO - 🔄 Movement: L=57 ticks (1.8mm), R=52 ticks (1.6mm), Center=1.7mm, Turn=-0.1°
2025-09-06 17:33:55,305 - INFO - 🔄 Movement: L=13 ticks (0.4mm), R=11 ticks (0.3mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:55,319 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=58 ticks (1.8mm), Center=1.9mm, Turn=-0.0°
2025-09-06 17:33:55,326 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:55,347 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=57 ticks (1.8mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:33:55,347 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:55,367 - INFO - 🔄 Movement: L=60 ticks (1.9mm), R=55 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:33:55,378 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=59 ticks (1.9mm), Center=1.9mm, Turn=-0.0°
2025-09-06 17:33:55,383 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=9 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:55,400 - INFO - 🔄 Movement: L=64 ticks (2.0mm), R=59 ticks (1.9mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:33:55,421 - INFO - 🔄 Movement: L=68 ticks (2.1mm), R=64 ticks (2.0mm), Center=2.1mm, Turn=-0.0°
2025-09-06 17:33:55,443 - INFO - 🔄 Movement: L=70 ticks (2.2mm), R=64 ticks (2.0mm), Center=2.1mm, Turn=-0.1°
2025-09-06 17:33:55,465 - INFO - 🔄 Movement: L=67 ticks (2.1mm), R=62 ticks (2.0mm), Center=2.0mm, Turn=-0.1°
2025-09-06 17:33:55,483 - INFO - 🔄 Movement: L=62 ticks (2.0mm), R=57 ticks (1.8mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:33:55,503 - INFO - 🔄 Movement: L=63 ticks (2.0mm), R=58 ticks (1.8mm), Center=1.9mm, Turn=-0.1°
2025-09-06 17:33:55,508 - INFO - 🔄 Movement: L=19 ticks (0.6mm), R=18 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:33:55,530 - INFO - 🔄 Movement: L=51 ticks (1.6mm), R=46 ticks (1.5mm), Center=1.5mm, Turn=-0.1°
2025-09-06 17:33:55,531 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=22 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-06 17:33:55,542 - INFO - 🔄 Movement: L=51 ticks (1.6mm), R=47 ticks (1.5mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:33:55,548 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=19 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:33:55,562 - INFO - 🔄 Movement: L=49 ticks (1.5mm), R=45 ticks (1.4mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:33:55,573 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=25 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-06 17:33:55,583 - INFO - 🔄 Movement: L=48 ticks (1.5mm), R=44 ticks (1.4mm), Center=1.5mm, Turn=-0.0°
2025-09-06 17:33:55,594 - INFO - 🔄 Movement: L=33 ticks (1.0mm), R=29 ticks (0.9mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:33:55,605 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,616 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=34 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,628 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,639 - INFO - 🔄 Movement: L=36 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,645 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=35 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:33:55,657 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=36 ticks (1.1mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:33:55,672 - INFO - 🔄 Movement: L=32 ticks (1.0mm), R=29 ticks (0.9mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:33:55,678 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=40 ticks (1.3mm), Center=1.3mm, Turn=-0.0°
2025-09-06 17:33:55,690 - INFO - 🔄 Movement: L=32 ticks (1.0mm), R=29 ticks (0.9mm), Center=1.0mm, Turn=-0.0°
2025-09-06 17:33:55,695 - INFO - 🔄 Movement: L=41 ticks (1.3mm), R=38 ticks (1.2mm), Center=1.2mm, Turn=-0.0°
2025-09-06 17:33:55,708 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:33:55,719 - INFO - 🔄 Movement: L=45 ticks (1.4mm), R=42 ticks (1.3mm), Center=1.4mm, Turn=-0.0°
2025-09-06 17:33:55,724 - INFO - 🔄 Movement: L=29 ticks (0.9mm), R=27 ticks (0.9mm), Center=0.9mm, Turn=-0.0°
2025-09-06 17:33:55,742 - INFO - 🔄 Movement: L=54 ticks (1.7mm), R=51 ticks (1.6mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:33:55,747 - INFO - 🔄 Movement: L=16 ticks (0.5mm), R=15 ticks (0.5mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:33:55,763 - INFO - 🔄 Movement: L=58 ticks (1.8mm), R=53 ticks (1.7mm), Center=1.8mm, Turn=-0.1°
2025-09-06 17:33:55,770 - INFO - 🔄 Movement: L=16 ticks (0.5mm), R=14 ticks (0.4mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:33:55,784 - INFO - 🔄 Movement: L=56 ticks (1.8mm), R=52 ticks (1.6mm), Center=1.7mm, Turn=-0.0°
2025-09-06 17:33:55,789 - INFO - 🔄 Movement: L=15 ticks (0.5mm), R=15 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-06 17:33:55,805 - INFO - 🔄 Movement: L=53 ticks (1.7mm), R=49 ticks (1.5mm), Center=1.6mm, Turn=-0.0°
2025-09-06 17:33:55,820 - INFO - 🔄 Movement: L=34 ticks (1.1mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:55,841 - INFO - 🔄 Movement: L=26 ticks (0.8mm), R=24 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:33:55,864 - INFO - 🔄 Movement: L=18 ticks (0.6mm), R=18 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-06 17:33:55,885 - INFO - 🔄 Movement: L=12 ticks (0.4mm), R=10 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:58,387 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=7 ticks (0.2mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:58,403 - INFO - 🔄 Movement: L=17 ticks (0.5mm), R=14 ticks (0.4mm), Center=0.5mm, Turn=-0.0°
2025-09-06 17:33:58,414 - INFO - 🔄 Movement: L=11 ticks (0.3mm), R=8 ticks (0.3mm), Center=0.3mm, Turn=-0.0°
2025-09-06 17:33:58,424 - INFO - 🔄 Movement: L=23 ticks (0.7mm), R=17 ticks (0.5mm), Center=0.6mm, Turn=-0.1°
2025-09-06 17:33:58,435 - INFO - 🔄 Movement: L=14 ticks (0.4mm), R=11 ticks (0.3mm), Center=0.4mm, Turn=-0.0°
2025-09-06 17:33:58,445 - INFO - 🔄 Movement: L=25 ticks (0.8mm), R=20 ticks (0.6mm), Center=0.7mm, Turn=-0.1°
2025-09-06 17:33:58,456 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=16 ticks (0.5mm), Center=0.6mm, Turn=-0.1°
2025-09-06 17:33:58,466 - INFO - 🔄 Movement: L=26 ticks (0.8mm), R=22 ticks (0.7mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:33:58,477 - INFO - 🔄 Movement: L=23 ticks (0.7mm), R=19 ticks (0.6mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:58,487 - INFO - 🔄 Movement: L=26 ticks (0.8mm), R=21 ticks (0.7mm), Center=0.7mm, Turn=-0.1°
2025-09-06 17:33:58,498 - INFO - 🔄 Movement: L=28 ticks (0.9mm), R=25 ticks (0.8mm), Center=0.8mm, Turn=-0.0°
2025-09-06 17:33:58,504 - INFO - 🔄 Movement: L=27 ticks (0.8mm), R=22 ticks (0.7mm), Center=0.8mm, Turn=-0.1°
2025-09-06 17:33:58,520 - INFO - 🔄 Movement: L=34 ticks (1.1mm), R=29 ticks (0.9mm), Center=1.0mm, Turn=-0.1°
2025-09-06 17:33:58,525 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=19 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-06 17:33:58,541 - INFO - 🔄 Movement: L=37 ticks (1.2mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.0°
2025-09-06 17:33:58,546 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=20 ticks (0.6mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:58,557 - INFO - 🔄 Movement: L=38 ticks (1.2mm), R=33 ticks (1.0mm), Center=1.1mm, Turn=-0.1°
2025-09-06 17:33:58,567 - INFO - 🔄 Movement: L=24 ticks (0.8mm), R=23 ticks (0.7mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:58,583 - INFO - 🔄 Movement: L=40 ticks (1.3mm), R=35 ticks (1.1mm), Center=1.2mm, Turn=-0.1°
2025-09-06 17:33:58,589 - INFO - 🔄 Movement: L=22 ticks (0.7mm), R=20 ticks (0.6mm), Center=0.7mm, Turn=-0.0°
2025-09-06 17:33:58,600 - INFO - 🔄 Movement: L=42 ticks (1.3mm), R=38 ticks (1.2mm), Center=1.3mm, Turn=-0.0°
