2025-09-11 20:17:15,043 - INFO - ✅ Arduino responding on /dev/ttyUSB0
2025-09-11 20:17:15,043 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-11 20:17:15,043 - INFO - 📐 Differential Drive Specifications:
2025-09-11 20:17:15,043 - INFO -    Wheel diameter: 7.0 cm
2025-09-11 20:17:15,043 - INFO -    Wheel base: 20.0 cm
2025-09-11 20:17:15,044 - INFO -    Left motor: 4993 ticks/rev
2025-09-11 20:17:15,044 - INFO -    Right motor: 4966 ticks/rev
2025-09-11 20:17:15,044 - INFO -    Left resolution: 0.044 mm/tick
2025-09-11 20:17:15,044 - INFO -    Right resolution: 0.044 mm/tick
2025-09-11 20:17:15,044 - INFO -    360° turn needs: L=14266 ticks, R=14189 ticks
2025-09-11 20:17:15,044 - INFO - 🔄 High-performance threads started
2025-09-11 20:17:23,936 - INFO - 🔄 Movement: L=-11 ticks (0.5mm), R=0 ticks (-0.0mm), Center=0.2mm, Turn=0.1°
2025-09-11 20:18:05,518 - INFO - 🔄 Movement: L=-11 ticks (0.5mm), R=0 ticks (-0.0mm), Center=0.2mm, Turn=0.1°
2025-09-11 20:18:05,538 - INFO - 🔄 Movement: L=-13 ticks (0.6mm), R=0 ticks (-0.0mm), Center=0.3mm, Turn=0.2°
2025-09-11 20:18:05,559 - INFO - 🔄 Movement: L=-12 ticks (0.5mm), R=0 ticks (-0.0mm), Center=0.3mm, Turn=0.2°
2025-09-11 20:18:05,579 - INFO - 🔄 Movement: L=-14 ticks (0.6mm), R=0 ticks (-0.0mm), Center=0.3mm, Turn=0.2°
2025-09-11 20:18:05,599 - INFO - 🔄 Movement: L=-14 ticks (0.6mm), R=0 ticks (-0.0mm), Center=0.3mm, Turn=0.2°
2025-09-11 20:18:05,620 - INFO - 🔄 Movement: L=-14 ticks (0.6mm), R=0 ticks (-0.0mm), Center=0.3mm, Turn=0.2°
2025-09-11 20:18:05,640 - INFO - 🔄 Movement: L=-15 ticks (0.7mm), R=0 ticks (-0.0mm), Center=0.3mm, Turn=0.2°
2025-09-11 20:18:05,661 - INFO - 🔄 Movement: L=-16 ticks (0.7mm), R=0 ticks (-0.0mm), Center=0.4mm, Turn=0.2°
2025-09-11 20:18:05,683 - INFO - 🔄 Movement: L=-15 ticks (0.7mm), R=0 ticks (-0.0mm), Center=0.3mm, Turn=0.2°
2025-09-11 20:18:05,703 - INFO - 🔄 Movement: L=-16 ticks (0.7mm), R=0 ticks (-0.0mm), Center=0.4mm, Turn=0.2°
2025-09-11 20:18:37,864 - INFO - 🛑 Cleaning up...
